town,name,register_url,info_url,reasons
burlington,Skip to main content,https://ymcametrowest.sgasoftware.com/Sales/Product?Age=-1&BeginTime=&BranchID=110&CheckEligibility=True&CurrentFamilyID=0&DL=10&DS=0&DT=GroupedList&EndTime=&Gender=B&IncludeWaitList=True&MemberID=0&ProductID=&ProductTypeID=600&StartDateFrom=&StartDateTo=&UnitID=,https://metrowestymca.org/camp-clearbrook,chrome_name;offhost_register
burlington,Skip to main content,https://ymcametrowest.sgasoftware.com/Sales/Product?Age=-1&BeginTime=&BranchID=310&CheckEligibility=True&CurrentFamilyID=0&DL=10&DS=0&DT=GroupedList&EndTime=&Gender=B&IncludeWaitList=True&MemberID=0&ProductID=&ProductTypeID=600&StartDateFrom=&StartDateTo=&UnitID=,https://metrowestymca.org/camp-ocp,chrome_name;offhost_register
burlington,"Tue, Jul 14, 5:30 pm",https://operations.daxko.com/online/5384/ProgramsV2/Events.mvc/offering?guid=f5bd3639-4fd7-11f1-99e6-00505692171b,https://operations.daxko.com/online/5384/ProgramsV2/Events.mvc/offering?guid=f5bd3639-4fd7-11f1-99e6-00505692171b,no_evidence
burlington,"Tue, Jul 14, 7:30 pm",https://operations.daxko.com/online/5384/ProgramsV2/Events.mvc/offering?guid=0b8c78a5-4fd8-11f1-99e2-0050569286b7,https://operations.daxko.com/online/5384/ProgramsV2/Events.mvc/offering?guid=0b8c78a5-4fd8-11f1-99e2-0050569286b7,no_evidence
burlington,"Wed, Jul 15, 5:30 pm",https://operations.daxko.com/online/5384/ProgramsV2/Events.mvc/offering?guid=37cdde45-4fd8-11f1-99e2-0050569286b7,https://operations.daxko.com/online/5384/ProgramsV2/Events.mvc/offering?guid=37cdde45-4fd8-11f1-99e2-0050569286b7,no_evidence
burlington,"Wed, Jul 15, 7:30 pm",https://operations.daxko.com/online/5384/ProgramsV2/Events.mvc/offering?guid=7f02f17f-4fd8-11f1-99e4-005056921697,https://operations.daxko.com/online/5384/ProgramsV2/Events.mvc/offering?guid=7f02f17f-4fd8-11f1-99e4-005056921697,no_evidence
burlington,"Thu, Jul 16, 5:30 pm",https://operations.daxko.com/online/5384/ProgramsV2/Events.mvc/offering?guid=5246ddc0-4fd8-11f1-99e9-00505692a808,https://operations.daxko.com/online/5384/ProgramsV2/Events.mvc/offering?guid=5246ddc0-4fd8-11f1-99e9-00505692a808,no_evidence
burlington,"Thu, Jul 16, 7:30 pm",https://operations.daxko.com/online/5384/ProgramsV2/Events.mvc/offering?guid=94d44dbd-4fd8-11f1-99e6-00505692171b,https://operations.daxko.com/online/5384/ProgramsV2/Events.mvc/offering?guid=94d44dbd-4fd8-11f1-99e6-00505692171b,no_evidence
burlington,"Mon, Jul 6, 6 pm",https://operations.daxko.com/online/5384/ProgramsV2/Events.mvc/offering?guid=d855059a-4fd6-11f1-99e2-0050569286b7,https://operations.daxko.com/online/5384/ProgramsV2/Events.mvc/offering?guid=d855059a-4fd6-11f1-99e2-0050569286b7,no_evidence
burlington,"Tue, Jul 7, 6 pm",https://operations.daxko.com/online/5384/ProgramsV2/Events.mvc/offering?guid=066eb4f2-4fd7-11f1-99e2-0050569286b7,https://operations.daxko.com/online/5384/ProgramsV2/Events.mvc/offering?guid=066eb4f2-4fd7-11f1-99e2-0050569286b7,no_evidence
burlington,"Wed, Jul 8, 6 pm",https://operations.daxko.com/online/5384/ProgramsV2/Events.mvc/offering?guid=2831c152-4fd7-11f1-99e6-00505692171b,https://operations.daxko.com/online/5384/ProgramsV2/Events.mvc/offering?guid=2831c152-4fd7-11f1-99e6-00505692171b,no_evidence
burlington,Summer Camps.Html,,https://my.lifetime.life/clubs.go/programs/kids/camps/summer-camps.html,no_register_url;no_evidence
burlington,Camps.Html,,https://my.lifetime.life/clubs.go/camps.html,no_register_url;no_evidence
burlington,Camp Registration,https://app.campdoc.com/!/dn/login?r=worcesterjcc,https://app.campdoc.com/!/dn/login?r=worcesterjcc,no_evidence
burlington,Camp Overnights,https://calleva.org/camp/camp-overnights,https://calleva.org/camp/camp-overnights,no_evidence
burlington,Camp Scholarships and Financial Aid,https://calleva.org/camp/camp-scholarships,https://calleva.org/camp/camp-scholarships,no_evidence
burlington,Camp Gear for Sale,https://calleva.org/camp/camp-gear,https://calleva.org/camp/camp-gear,no_evidence
burlington,Camp Summerprograms,https://wonderland.campintouch.com/ui/forms/application/camper/App,https://easternusa.salvationarmy.org/massachusetts/boston/camp-summerprograms,offhost_register;no_evidence
